Pre-hit context;Hit string;Post-hit context;File name;Transcript ID;Speaker ID;Speaker gender;Speaker role;Speaker native speaker status
k it's the equiv- like i think it it ha- has the opposite effect that,  we see ;how;our sexuality is like, you know it's like, now i'm afraid to, you know am i what am i you know and  ; Sex, Gender, and the Body Lecture ;LES565SU137;S15;F;JU;NS
e our beliefs about, government and, power and, where power belongs and, what power should do? yeah?;how;'s that? Brett?   cuz maybe um ; Intro to American Politics Discussion Section ;DIS495JU119;S1;F;SG;NS
   well they're a resolution of;how;you find, perimeter, in a building like this when you need lots and lots and lots of perimeter for d; Architecture Critiques ;STP125JG050;S1;F;SF;NS
e i should shorten it? or   um,;how;long is your paper supposed to be?   ; English Composition Tutorial ;OFC301MU021;S1;F;JF;NS
, two-five-six? okay. at first is was like, i was confused.  hey stranger,;how;are you? yes.   i forgot all a; Media Union Service Encounters ;SVC999MX104;S52;M;SU;NS
when the, physics the physicists say, that, no this uh, this thing can be a wave and a particle. now;how;are they, how are they using identity?   ; Objectivism Student Group ;SGR999MX115;S1;M;SG;NS
nt you to read in the textbook everything that it says about noisy-or, ask us in office hours to see;how;much we'll tell you and then, kind of just write a paragraph that says, noisy-or, will or will not w; Computer Science Office Hours ;OFC270MG048;S2;F;SG;NS
get a different species out of this situation then? if th-  if that's  the case;how;do you get different species? well what happens is, these_ e- everybody is always constantly going t; Intro Biology Exam Review ;OFC175JU145;S1;F;JG;NS
gives you the suggestion of of bones underneath the flesh, look at the folds of the cloak around her;how;, with and remember this is marble right? this is material that's like this, where you really to, yo; Visual Sources Lecture ;LES320SU085;S1;F;SF;NS
  Kurt?   i can tell you uh how;how;y- how we know it's composite.   ; Number Theory Math Lecture ;LES385SU007;S3;M;SU;NS
  i thought it was good too um i especially liked what i believe it was the executive editor did;how;he's like, listen you know this is what went into deciding whether or not to publish this photo, i w; Ethics Issues in Journalism Lecture ;LES220SU140;S4;F;SU;NS
new genus and you found had three new species and so on, i'd like to talk to you a little bit about,;how;you come up with the names?   o; Interview with Botanist ;INT175SF003;S2;M;SF;NSO
  well the nice thing about being in college_ i know it's nice and also tormenting_ is no matter;how;good you are, you can always be better, you're  beginning  ; Academic Advising ;ADV700JU047;S2;F;ST;NS
uff in India   kinda influenced;how;  right. influence interpretati; Anthropology of American Cities Office Hours ;OFC115SU060;S6;F;SU;NS
  and  ;how;does that (help)   going to hell.   ; Intro to American Politics Discussion Section ;DIS495JU119;S1;F;SG;NS
  sure, sorry about that.  ;how;would i find out when uh, Christmas break? is there something around here, that's g- would say_ i kn; Media Union Service Encounters ;SVC999MX104;S2;M;JU;NS
 and in, in our kind of, little chart about, on the, the column that says, consumption, um, remember;how;we talk about sort of, the niche, the sort of niche marketing of, of even malls right? so that malls; Anthropology of American Cities Office Hours ;OFC115SU060;S2;F;SG;NS
re welcome.  does that make sense?  so it's all about;how;,  how many molecules it takes to start it. okay so E-one   ; Organic Chemistry Study Group ;SGR200JU125;S1;F;JU;NS
times as, um a way of treating_ i know this is like a refer back to like slavery, and how_ i'm sorry;how;, um, i- like putting women, like on a lower level like treating 'em_ like whips and chains is kind ; Sex, Gender, and the Body Lecture ;LES565SU137;S19;F;JU;NS
  okay, lemme- lemme give a go at this...  you know;how;you're saying like there's multiples of something but, if you give one, all you need is one, so, it ; Math Study Group ;SGR385SU057;S3;F;SU;NS
  grosbeak   that's not;how;they fly.    they h; Biology of Birds Field Lab ;LAB175SU026;SU-f;F;SU;NS
d and and how they were saying it. um, so, i wanna split it up and, in the first part um, talk about;how;, sort of say, what i just said which is to say that um that, uh, rap is equally valued in i- its fl; American Culture Advising ;OFC105SU068;S1;M;SU;NS
   well what i'm saying is;how;did they look at this  and be like hey that's probably a virus?  why don't they; Intro Biology Study Group ;SGR175MU126;S4;F;SU;NS
   is it like, brought  from one place to the other?;how;does it affect, other  cells?    ; Intro Biology Study Group ;SGR175MU126;S1;F;SU;NS
nd, what does it mean t- that there may be other causes. and the book will tell you something about,;how;you model, so what you want to do is you want to explain if i use noisy-or for this model, then i ha; Computer Science Office Hours ;OFC270MG048;S2;F;SG;NS
   yeah   ;how;much?   um, i've taken three ye; Anthropology of American Cities Office Hours ;OFC115SU060;S2;F;SG;NS
  um, i think it's really interesting to show_ like they paralleled each other exactly with;how;the mother acted and how the father acted. and then i'll note that's   ; American Family Group Project Meeting ;SGR565SU144;S1;F;SU;NS
(xx)    ;how;are we gonna mark them?    ; Biology of Fishes Group Activity ;LES175SU031;SU-f;F;SU;NS
f the problem.   yep, yep okay.;how;'bout a non mad cow disease story, Kathy?   ; Ethics Issues in Journalism Lecture ;LES220SU140;S1;M;SF;NS
  yes   and;how;many that we have seen before do we have to key any of those out?   ; Biology of Fishes Lab ;LAB175SU033;SU-f;F;UN;NS
   and  there's a question of mastery involved here too i mean;how;confident are you feeling about pre-calc concepts at this point?   ; Academic Advising ;ADV700JU047;S2;F;ST;NS
int, to a um, there is a part that he had to kind of um solder on, i don- not solder on i don't know;how;they did it they probably had some kind of a strut  an iron strut.    ; Visual Sources Lecture ;LES320SU085;S1;F;SF;NS
, lemme check for you.   (xx);how;are you?   good.   ; Science Learning Center Service Encounters ;SVC999MX148;SU-f;F;UN;NS
  (uh)  yeah.  ;how;so?   cuz it's uh, relative pro; Intro Latin Lecture ;LES215MU056;S1;F;JF;NS
ly interesting, but it seems like there's just so much,  and  i just don't know;how;to, i don't know where to start    ; Anthropology of American Cities Office Hours ;OFC115SU060;S6;F;SU;NS
ht   i don't i don't understand;how;it makes a reproductive barrier i know it's something about like haploids not being able, get it on ; Intro Biology Study Group ;SGR175MU126;S4;F;SU;NS
  um i remember we discussed in our previous class about;how;pornography was seen sometimes as, um a way of treating_ i know this is like a refer back to like sl; Sex, Gender, and the Body Lecture ;LES565SU137;S19;F;JU;NS
  thanks.   hey;how;are you?   good how are you? ; Science Learning Center Service Encounters ;SVC999MX148;S1;F;SU;NS
  okay   i think i know;how;to do it but, like i didn't_ i'm not sure i'm like setting it up right, we can do spreadsheets for b; Heat and Mass Transfer Office Hours ;OFC195SU116;S12;F;SU;NS
y was seen sometimes as, um a way of treating_ i know this is like a refer back to like slavery, and;how_;i'm sorry how, um, i- like putting women, like on a lower level like treating 'em_ like whips and ch; Sex, Gender, and the Body Lecture ;LES565SU137;S19;F;JU;NS
  (xx) (over here)   uh, hippo-;how;do you get the hippocampus?   r; Biopsychology Lab ;LAB500SU044;S8;M;SU;NS
n't know about) the other two  ;how;you guys doing?   pretty  ; First Year Philosophy Seminar ;SEM475JU084;S1;F;JF;NS
go out get and get a job they come back and  and  they say, this is how how how;how;much money i  i now  have and i now make, and  he's  ; Anthropology of American Cities Office Hours ;OFC115SU060;S5;M;SU;NS
   yeah  that's true.;how;was Chicago last weekend with Avi?   ; Senior Thesis Study Group ;SGR999SU146;S3;F;SU;NS
 looking elsewhere in terms of what makes rap um, what makes it good on a purely sonic level explain;how;this song, um in specific demonstrates all these things. and how, it you know when it when it comes ; American Culture Advising ;OFC105SU068;S1;M;SU;NS
n?     cuz;how;many more credits  do you have to go?   ; Academic Advising ;ADV700JU047;S2;F;ST;NS
ted by, by the idea that you are this sort of immaterial thing, this semi- center of gravity. how do;how;exactly do you think we should capture the idea of, you know, where your center of gravity should be; First Year Philosophy Seminar ;SEM475JU084;S1;F;JF;NS
  yeah sure... nope he doesn't. uh, let's see if they've got,;how;about like, units like th- the  group?    ; Economics Office Hours ;OFC280SU109;S6;M;UN;NS
 that makes no sense though  ;how;'bout we don't have to do it? (xx)   ; Chemistry Lab ;LAB200JU018;SU-m;M;UN;NS
r   like, how she talked about;how;there was like an extra, brain and body   ; First Year Philosophy Seminar ;SEM475JU084;S10;F;JU;NS
  ;how;are you today?   good how 'bout; Art History Office Hours ;OFC320SU153;S3;F;SU;NS
  Kurt?   i can tell you uh;how;how y- how we know it's composite.   ; Number Theory Math Lecture ;LES385SU007;S3;M;SU;NS
  and i- you know the other thing too is that like,;how;can they name a virus rather than like,  just evolution? you know what i mean like why is ; Intro Biology Study Group ;SGR175MU126;S1;F;SU;NS
 that much until she told me.  ;how;could you guys not notice? she's like not speaking English when she does that she's like Moebius. a ; Math Study Group ;SGR385SU057;S2;F;SU;NS
ings, and versus how many people would like to wait until we do the readings, so, sign-up sheet now?;how;many people for a sign-up sheet now? one?   ; First Year Philosophy Seminar ;SEM475JU084;S1;F;JF;NS
    that's;how; they, that's how they  rate beers.    ; Chemical Engineering Group Project Meeting ;SGR195SU127;S1;M;SU;NS
 do some work pulling this part togeth- uh, anyway this part together into an argument about sort of;how;it's representing the community first. and then i'd go back um, to your sort of, beginning which i d; Anthropology of American Cities Office Hours ;OFC115SU060;S2;F;SG;NS
  yeah,   um,;how;do you feel about your educational experience at Michigan, um so far. uh   ; Graduate Student Research Interview 1 ;INT425JG001;S1;F;JF;NS
wo- just wondering like,   how,;how;long are you here?   ; Media Union Service Encounters ;SVC999MX104;R2;F;ST;NS
   six-I  how did i ke-;how;did i do that again...? yep you're right.   ; Math Study Group ;SGR385SU057;S1;M;SU;NS
and the thing is they can expand and contract, there's some control over a number of them and that's;how;the fish changes color... okay? how are we doing folks with the scales?   ; Biology of Fishes Lab ;LAB175SU033;S1;M;SF;NSO
t is like that. you know cuz i was like oh it's like twenty-five or thirty pages and she's like well;how;much like ah you know she wants like,  i don't know.  she's not used to the R-C; Senior Thesis Study Group ;SGR999SU146;S3;F;SU;NS
   i was like thanks. ;how;'s my  computer   came to class. never had (xx)   ; Media Union Service Encounters ;SVC999MX104;S52;M;SU;NS
z that you would take and your partner would take it and then you would compare your answers and see;how;many things you agree on. and one of them was something like um, pornography can be fun for foreplay; Sex, Gender, and the Body Lecture ;LES565SU137;S1;F;JF;NS
  something that no one brought up, and that is whether or not_;how;you resolve, (th- th-) the formal ambiguity of  inopiae,  because with, the forms; Intro Latin Lecture ;LES215MU056;S1;F;JF;NS
bably the people up here have a dog, and it comes over here and runs. i think it's pretty cruddy. um;how;many bass have they got over there?   ; Biology of Fishes Field Lab ;LAB175SU032;S1;M;SF;NSO
  yeah  nobody's here  come  on in. i'll be right with you. um,;how;are you doing Silvi?   pardon m; Economics Office Hours ;OFC280SU109;S2;F;JF;NS
  oh excellent.  ;how;come you came up to the BioStation? like wh-   ; Biology of Birds Field Lab ;LAB175SU026;SU-f;F;SU;NS
 how tall is this? life size. a little bit more than life size actually. now the thing, the thing of;how;, the um casting is that you can actually cast a whole bunch of things. i mean you can, once you've ; Visual Sources Lecture ;LES320SU085;S1;F;SF;NS
n approximation problem.   well;how;do i switch it from arc minutes to degrees?   ; Astronomy Peer Tutorial ;OFC150MU042;S6;F;SU;NS
  and th- the other thing is too is like to know what um each thing means like;how;how does it regulate? or like what does that what does like, D-N-A packing mean?  you know; Intro Biology Study Group ;SGR175MU126;S1;F;SU;NS
e need to wrap it up um, but make sure you go through the notes make sure you understand what the i-;how_;what the examples, um refer to   ; Intro Biology Exam Review ;OFC175JU145;S1;F;JG;NS
 eight  eight   well;how;you get four four two and one comes back in.   ; Biochemistry Study Group ;SGR175SU123;S3;M;SU;NS
  so like, how would, if by mitosis, which kind of cells like wouldn't be the diploid cuz you know;how;, like how could it be a diploid anyhow, for mitosis?   ; Intro Biology Discussion Section ;DIS175JU081;S2;F;JU;NS
n we're dealing with population dynamics, we're not interested in, just how many there are, now, but;how;the numbers vary with time. so, lemme spend a little bit of time and i mean a little bit of time, ta; Biology of Fishes Group Activity ;LES175SU031;S1;M;SF;NSO
know;how; like  you're inserting fragments so you only wanna look at like the specific p; Intro Biology Study Group ;SGR175MU126;S5;F;JU;NS
we're-    ;how;much does  twenty liters of yeast weigh?   ; Chemical Engineering Group Project Meeting ;SGR195SU127;S3;F;SU;NS
's kinda one in Brighton   mhm.;how;far away is that?   maybe fifte; Anthropology of American Cities Office Hours ;OFC115SU060;S2;F;SG;NS
e numbers? from, when we calculated how much, how many gallons per batch,  and ;how;many pounds of this stuff (we're gonna have?)   ; Chemical Engineering Group Project Meeting ;SGR195SU127;S3;F;SU;NS
 which the facade as a thin skin, is kind of the way you can describe these buildings, right? that's;how;the Media Union is that's how this building is they're big, enclosures, big volumes, enclosed by a v; Architecture Critiques ;STP125JG050;S3;F;JF;NS
onnected to three which is connected to one, and so then i'm looking at one at that point and saying;how;is one connected to these? and one is separated from seven and six because you have node four as  ; Computer Science Office Hours ;OFC270MG048;S2;F;SG;NS
hat what kind of example can i provide, of those types of terms? and you know you need to understand;how;the example relates to the term and those types of things and there were a lot_ you notice that Hazl; Intro Biology Exam Review ;OFC175JU145;S1;F;JG;NS
of analyzed their programs and how they're sort of, situated in this political and economic context,;how;um, how do their programs analyze, the problems that  they're  addressed to sol; Anthropology of American Cities Office Hours ;OFC115SU060;S2;F;SG;NS
nal inventory you wanna know, not only you know where they are and how many they are but but why and;how;they got there.   right.  ; Interview with Botanist ;INT175SF003;S2;M;SF;NSO
  seems like the smaller you get smaller and smaller little curves see;how;it, see how it gets smaller and  smaller (xx)  each other. ; Biopsychology Lab ;LAB500SU044;SU-m;M;UN;NS
stion.    ;how;can you tell if  how can you tell if it was through complex (xx) post-transitions if (xx); Chemistry Discussion Section Student Presentations ;STP200JU019;S7;F;SU;NS
with j- getting a handle on the dative. but look at sixteen-five, going through this same thing, Jim;how;would you_ could you read that one aloud?   ; Intro Latin Lecture ;LES215MU056;S1;F;JF;NS
   okay so;how;'bout, we do something like   y; Technical Communications Tutorial ;OFC578SG037;S2;M;SG;NS
 there is... there's insert sort there's clear. see the clear  X and Y?  that's;how;you wanna press to get 'em all back to nothing there so you can enter data at the start.   ; Statistics Office Hours ;OFC575MU046;S1;F;JF;NS
   what do we got for the time?;how;much longer w- should we really be expected to stay here?   ; Biopsychology Lab ;LAB500SU044;S7;M;SU;NS
     like ;how;much do they get paid?   um it ; Academic Advising ;ADV700JU047;S5;F;JU;NS
 why i know   oh really? that's;how;you know Pat?   Pat Klein was t; Forum for International Educators Meeting ;MTG999ST015;R1;F;RE;NS
    (xx) depending on;how;you    and E is  ; Organic Chemistry Study Group ;SGR200JU125;S3;F;JU;NS
ing it to moms, you know which i don't know if that is gonna be like a separate section, or you know;how;we're gonna, put that all together. so  so i don't know if you guys wanna ; American Family Group Project Meeting ;SGR565SU144;S2;F;SU;NS
 D-N-A technology two?    that's;how;i go by like     ; Intro Biology Study Group ;SGR175MU126;S1;F;SU;NS
s want me to. um, i would just need, um well first of all we need to talk about what kinda thesis or;how;we wanna organize the introduction so that it makes sense and, i don't know we could say something l; American Family Group Project Meeting ;SGR565SU144;S5;F;SU;NS
um, so try to fill these out. i'll go get you a copy and, we'll go around the room. and what i want_;how;i want this to run is, let's say Joel says generates two diploid cells from a diploid. and he says m; Intro Biology Discussion Section ;DIS175JU081;S1;F;JF;NS
on mark, and you said that wouldn't go in, the quotation? or i didn't hear what you were saying. see;how;you have that line you have like period then you have a comma  and then on the ; English Composition Seminar ;SEM300MU100;S6;M;SU;NS
  five  ;how;many carbons does succinyl CoA have?   ; Biochemistry Study Group ;SGR175SU123;S1;F;SU;NS
  um  okay. um, so you've got a kind of, big question about sort of,;how;experiences, or sort of experiences in, with sort of race and politics and stuff in India   ; Anthropology of American Cities Office Hours ;OFC115SU060;S2;F;SG;NS
 was very hard to coordinate (and) get all this information gathered, um so that they can figure out;how;, they're gonna allocate funds   ; Forum for International Educators Meeting ;MTG999ST015;S1;F;ST;NS
of a building is interesting but i really like it more because, i guess i always wondered why given,;how;beautiful, the landscape is around here why North Campus didn't develop in a more kind of um, you kn; Architecture Critiques ;STP125JG050;S3;F;JF;NS
   like okay  it says;how;is a retrovirus used in hu- in human gene therapy? and it's used as a vector to introduce D-N-A into; Intro Biology Study Group ;SGR175MU126;S5;F;JU;NS
it is really_ i but i think it's incredibly exciting because, you can get um you get a real sense of;how;Michelangelo worked, how Michelangelo worked, at something. okay. so be sure to take a look at the T; Visual Sources Lecture ;LES320SU085;S1;F;SF;NS
then change the resist and dye again. so if you had to do that, you can sort of, start to figure out;how;it was plotted out and and made, color onto what color.    ; Art History Office Hours ;OFC320SU153;S1;F;JF;NS
 this side, you have to draw a line starting almost at one. and then once you get up here it's like,;how;could_ how can  you (xx)  (stages.); Heat and Mass Transfer Office Hours ;OFC195SU116;S19;F;SU;NS
  hello...   hi. ;how; are you today?   ; Media Union Service Encounters ;SVC999MX104;S9;M;UN;NS
 you can actually see, Michelangelo working here, on the marble, um, in various ways and you can see;how;, this is the, this was the original very rough hewn, block right? and then he goes in closer and he; Visual Sources Lecture ;LES320SU085;S1;F;SF;NS
ls... ouch... you know what's, what's that mean? what's that about? what's the significance of that?;how;'s that different from Howell? you might just wanna like again sort of draw out some conclusions fro; Anthropology of American Cities Office Hours ;OFC115SU060;S2;F;SG;NS
... i think so too. people, people often sort of propose, group work, w- without really considering,;how;hard group dynamics can be. you know how crucial they are. and, even issues like deciding what progr; Graduate Student Research Interview 2 ;INT425JG002;S2;F;JF;NS
   ;how;did she learn how to say it like that?   ; Math Study Group ;SGR385SU057;S2;F;SU;NS
ld still work. cuz if there is, a Moebius transformation that's automatically a hyperbolic isometry.;how;do you think Natasha learned to say Moebius like that?    ; Math Study Group ;SGR385SU057;S2;F;SU;NS
  yeah  you might wanna combine them but start with what it used to be like and;how;you think, the development of these stores which are like strip mall type,  strip, mall,  ; Anthropology of American Cities Office Hours ;OFC115SU060;S2;F;SG;NS
e integrity of the watershed?  ;how;about improving or how about um, enhancing, protecting, improving,   ; Natural Resources Research Group Meeting ;MTG425JG004;S1;M;JG;NS
     but is that;how;much we have or is that,    ; Chemical Engineering Group Project Meeting ;SGR195SU127;S2;F;SU;NS
  okay well then i would take that one. to give you a sense of of;how;that goes, and you need to remember Celeste that you have all of this year and all of next year to e; Academic Advising ;ADV700JU047;S2;F;ST;NS
 Redmond, and, on on, um modeling the_ all the watersheds in Michigan um based on geology and seeing;how;that um affects the different types of streams and and the different fish that that live here so i_ ; Graduate Student Research Interview 1 ;INT425JG001;S2;M;JG;NS
  and,  l- let me give you a hypothetical you know;how;i love hypotheticals.  to make it more difficult. let's say tha; Ethics Issues in Journalism Lecture ;LES220SU140;S12;F;SU;NS
thing. yeah so you need to, take control of what you can control. and it sounds like you can control;how;you're studying for the class.   ; Academic Advising ;ADV700JU047;S2;F;ST;NS
o it, which is what i did. so that's what got me into the ecosystems stuff, was trying to figure out;how;important these, fungi are that i'm interested  in.    ; Interview with Botanist ;INT175SF003;S1;M;SF;NS
 well i kn- but Tef-  Teflon is so- just sort of white plastic,  anyways i mean;how;can how can i tell the difference?    ; Physics Research Group Meeting ;MTG485SG142;S8;F;SG;NS
e.   ;how;does he uh, he wants to find these journals but he just knows like, the title.   ; Media Union Service Encounters ;SVC999MX104;S2;M;JU;NS
about it before   right, right.;how;'d you pick Michigan?   ; Graduate Student Research Interview 2 ;INT425JG002;S2;F;JF;NS
 different countries. Bahasa, Bahasa Malay, or just Bahasa. um, and let me see i don't know how the,;how;that works.   i actually have a; Linguistics Independent Study Advising ;OFC355SU094;S1;M;SF;NS
ings. their relationship is not at all, an equal one but, a natural one that fits the description of;how;God created man and woman, even though there is nothing natural about it at all.    ; English Composition Seminar ;SEM300MU100;S8;M;SU;NS
   sure.  okay that's fine. well then then you get to see,;how;parallel the distractors are. alright let's see.  sentences below, please rate t; Linguistics Independent Study Advising ;OFC355SU094;S1;M;SF;NS
    i don't know;how;to search for (those)    ; Media Union Service Encounters ;SVC999MX104;S2;M;JU;NS
  may i help you?  ;how;you doing? can i check out the Engineering Economy book? for uh, (Howard)   ; Media Union Service Encounters ;SVC999MX104;S7;M;UN;NS
  doesn't it kind of give a um, a basis of like what's right and wrong and;how;you should like judge your, (like) what you do what's acceptable in life (and)   ; Intro to American Politics Discussion Section ;DIS495JU119;S3;F;JU;NS
hapter for a second in terms of, um, in terms of what i'm doing and in terms of what i'm writing and;how;i'm going  about it.  i'm having a lot of trouble because i sort of feel as tho; American Culture Advising ;OFC105SU068;S1;M;SU;NS
   i was thinking (xx) now (xx);how;you keep track of this right i mean this is pretty big.    ; Heat and Mass Transfer Office Hours ;OFC195SU116;S5;M;SU;NS
d showing how, that is, useful as opposed to something that wasn't. um, and then after that, explain;how;um, that, had they chosen to be_ and and, take a deeper look at, black messengers. which is to say, ; American Culture Advising ;OFC105SU068;S1;M;SU;NS
   keep  them out of sunlight. notice;how;this, side here has been faded, and this side here has not?  so that gives you an  ; Art History Office Hours ;OFC320SU153;S1;F;JF;NS
is ten-forty liters. alright?  ;how;did we figure out how big the batch was in the first place? we took the number of  days in; Chemical Engineering Group Project Meeting ;SGR195SU127;S3;F;SU;NS
   i'm just trying to figure out ;how;big that is how  big the    ; Chemical Engineering Group Project Meeting ;SGR195SU127;S1;M;SU;NS
're finding the area of objects you wouldn't know, y- i mean how could you even,  you know;how;you would  know every (xx)   ; Objectivism Student Group ;SGR999MX115;S1;M;SG;NS
t two different ways of saying, two different perspectives on one thing? so that how could you have,;how;could you have to have one before the other if that's the case? like how could a child implicitly ha; Objectivism Student Group ;SGR999MX115;S3;M;SG;NS
   where did you (mess,)  see- look um, so, this is;how;the brain goes like that so there's your_ that's the cerebellum or the uh this is the um, what would; Biopsychology Lab ;LAB500SU044;S7;M;SU;NS
ike i want to make it very clear that none of these poems are autobiographical or bi- and then like,;how;could she ever do anything that's not centered around herself?  like,  her enti; Senior Thesis Study Group ;SGR999SU146;S1;F;SU;NS
 and you're done.   how h- wai-;how;do you, just come up with that so fast like,  there's  a line  cu; Economics Office Hours ;OFC280SU109;S1;F;SU;NS
  one two three  ;how;about, um things are going great and they will be getting better? is that the one you're talking abo; Biology of Fishes Lab ;LAB175SU033;SU-f;F;UN;NS
  but, with this still  there, and only one arrow pointing in from here? i don't see;how;anyth- this is gonna depend on anything.   ; Computer Science Office Hours ;OFC270MG048;S1;M;JG;NS
there's an internal world.   so;how;do you reconcile this with like, i mean doesn't she say that uh the existence and the identity are j; Objectivism Student Group ;SGR999MX115;S3;M;SG;NS
know    ;how;are we ever gonna tell these blackbirds apart?    ; Biology of Birds Field Lab ;LAB175SU026;SU-f;F;SU;NS
cho. so  we'll give you some more details so that you can see um, how, um,;how;refined and detailed and suggestive you can get in sculpture. this is the head of Christ  ; Visual Sources Lecture ;LES320SU085;S1;F;SF;NS
here. yeah, ah perfect. alright so, then um, what would the orbital period, be? do you have any idea;how;you might go around uh, go about, doing that?   ; Astronomy Peer Tutorial ;OFC150MU042;S1;F;SU;NS
   no, like  you know;how;like histine like,  i mean like i mean  i mean it's like, like if something's a; Biochemistry Study Group ;SGR175SU123;S2;M;SU;NS
  joking nothing. ;how;much  does housing cost in New York?   ; Anthropology of American Cities Office Hours ;OFC115SU060;S2;F;SG;NS
o, but i think that's probably (where it is) (though it could be that right there too) i don't know.;how;did you guys do with your brain? what'd you find, anything?   ; Biopsychology Lab ;LAB500SU044;S7;M;SU;NS
e were talking about the epistasis  or whatever  um, like i know what it is but;how;is it gonna affect the problem? if we had to like, i don't, i don't have my book i mean i don't have; Intro Biology Exam Review ;OFC175JU145;S8;F;JU;NS
  um, i guess you would say it would be;how;, um, people, in- people interact with the government and how they feel about the government and, ba; Intro to American Politics Discussion Section ;DIS495JU119;S6;F;JU;NS
ation of the data, is, wrong.  ;how;s-  what,    ; Objectivism Student Group ;SGR999MX115;S3;M;SG;NS
 student. and how old i am.  ;how;many peop- peop- uh, how many, students, can they s- house?   ; Forum for International Educators Meeting ;MTG999ST015;SU-f;F;ST;NS
    but then ;how;could how could, i don't understand how it works because i don't see how, how P-squared could be, th; Intro Biology Exam Review ;OFC175JU145;S2;F;JU;NS
   are you flying for three hundred dollars? ;how;much are you flying for?    ; Visual Sources Lecture ;LES320SU085;SU-m;M;UN;NS
  but i don't want you to  be overwhelmed and, stuck. okay Amy;how;can i help you? questions?   i ; Art History Office Hours ;OFC320SU153;S1;F;JF;NS
  wow    ;how;did you guys  do on the test?   ; Biopsychology Lab ;LAB500SU044;S7;M;SU;NS
sentation so far, how many would like to do sign-up sheet now in advance of the readings, and versus;how;many people would like to wait until we do the readings, so, sign-up sheet now? how many people for ; First Year Philosophy Seminar ;SEM475JU084;S1;F;JF;NS
  or  even like;how;um families stress going back for visits,  like  every few years  and; Anthropology of American Cities Office Hours ;OFC115SU060;S6;F;SU;NS
   that's right so why does it say, ;how;is it consistent with volition it isn't.   ; Objectivism Student Group ;SGR999MX115;S3;M;SG;NS
  pardon me?  ;how;are you doing?   uh i'm okay, h; Economics Office Hours ;OFC280SU109;S2;F;JF;NS
   how things, ;how;species arise right?   how new ; Intro Biology Study Group ;SGR175MU126;S3;F;JU;NS
g it yeah   i mean;how;many genera are there and how many species and how long is it going to take you and how much, is kno; Interview with Botanist ;INT175SF003;S2;M;SF;NSO
 Pin i'll just  delete them  and tell him to send me another one that's, that's;how;she likes to deal with me you know.   ; Media Union Service Encounters ;SVC999MX104;S52;M;SU;NS
ave a chair. oops, i'm sorry.  ;how;come   looks like no   ; Biochemistry Study Group ;SGR175SU123;S2;M;SU;NS
 as soon as i recognize that as being on the list, i know i have dative object here. (hm?) so, Tanya;how;would you translate just this much, of the sentence?   ; Intro Latin Lecture ;LES215MU056;S1;F;JF;NS
ello.  you know i like i did my reading and everything but i didn't know;how;to write like he wanted me to per se. but um see  in English    ; Academic Advising ;ADV700JU047;S4;M;JU;NS
 Iowas and wa- two Johnnys.  ;how;many Spottails?   you know you; Biology of Fishes Field Lab ;LAB175SU032;SU-f;F;UN;NS
for the study would be though, to make the comparison more equivalent by doing some kind of pairing.;how;would you compa- pair 'em, maybe by driving habits how many accidents they had that might indicate w; Statistics Office Hours ;OFC575MU046;S1;F;JF;NS
 the cost functional, if it's not like it doesn't seem like it would be a comparable number scale so;how;can you say whether it's more or less fit?   ; Physics Research Group Meeting ;MTG485SG142;S8;F;SG;NS
 we need a cooling tank.  ;how;about if we just,   heat exchanger.  ; Chemical Engineering Group Project Meeting ;SGR195SU127;S1;M;SU;NS
d ;how;many terms did you have?   ; Computer Science Office Hours ;OFC270MG048;S2;F;SG;NS
   there's no cable involved it's just a  connector. but, even like you know;how;when you look down inside the connector there's little white plastic things surrounding the,  ; Physics Research Group Meeting ;MTG485SG142;S8;F;SG;NS
inative plural, or it could be dative singular. so the real first question you hafta answer here, is;how;do i decide when do i know for instance, that, this form represents a dative singular, rather than a; Intro Latin Lecture ;LES215MU056;S1;F;JF;NS
yes   i don't really understand;how;that, uh like i don't think that makes sense as political culture.   ; Intro to American Politics Discussion Section ;DIS495JU119;S7;F;JU;NS
   yeah. again sort of, what we um,;how;we attend how we intend to uh, to, to meet our objectives... would be, so, one of the ways that we'r; Natural Resources Research Group Meeting ;MTG425JG004;S1;M;JG;NS
take the time to be involved, but it's like you know it's the breadwinner thing like they don't know;how;.   cuz like in the movies i wa; American Family Group Project Meeting ;SGR565SU144;S2;F;SU;NS
  mhm mhm okay.  ;how;do you put into the calculator what would be   ; Statistics Office Hours ;OFC575MU046;S4;F;SU;NS
  how, how tall is this?  ;how;tall is this? life size. a little bit more than life size actually. now the thing, the thing of how,; Visual Sources Lecture ;LES320SU085;S1;F;SF;NS
 able to see especially in the supplementary weft technique, you're gonna be able to see more about,;how;they construct it. if you can see a little bit of, how the metallic, thread here for this crochet, w; Art History Office Hours ;OFC320SU153;S1;F;JF;NS
hink that   well i think that's;how;we were,  actually, envisioning it but    ; Architecture Critiques ;STP125JG050;S8;M;JG;NS
the mean difference.   okay. so;how;do you know whether you wanna put greater than or less than zero?   ; Statistics Office Hours ;OFC575MU046;S3;F;SU;NS
  it gives him  ;how;do y-   that he's, he probably doesn't understand   ; Objectivism Student Group ;SGR999MX115;S2;M;SG;NS
  mkay    ;how;come  they transferred you up here?   ; Media Union Service Encounters ;SVC999MX104;S2;M;JU;NS
